run_id,seed,cv_f1,threshold_youden,test_recall_retain,test_recall_churn,test_precision_retain,test_f1_retain,test_roc_auc,test_pr_auc,pred_retain_pct,best_max_depth,best_learning_rate,best_n_estimators,best_scale_pos_weight,timestamp
1,49,0.975863,0.166054,0.865613,0.859356,0.060581,0.113237,0.931216,0.327716,14.8162,4,0.05,150,1.0,2026-09-18T00:33:25.746822
2,56,0.975643,0.178199,0.86166,0.868632,0.064307,0.119682,0.931497,0.338424,13.894,4,0.05,150,1.0,2026-09-18T00:33:35.402721
3,63,0.975512,0.20314,0.84585,0.885737,0.071981,0.132672,0.928726,0.336446,12.1849,4,0.05,150,1.0,2026-09-18T00:33:45.213723
4,70,0.976291,0.174614,0.873518,0.86213,0.062254,0.116224,0.929608,0.328735,14.5498,4,0.05,150,1.0,2026-09-18T00:33:55.176581
5,77,0.97648,0.16564,0.873518,0.860722,0.061663,0.115194,0.930387,0.334,14.6891,4,0.05,150,1.0,2026-09-18T00:34:04.852890
6,84,0.97669,0.212527,0.833992,0.893233,0.075654,0.138725,0.929951,0.327722,11.4308,4,0.05,150,1.0,2026-09-18T00:34:14.472808
7,91,0.975918,0.165886,0.873518,0.861302,0.061905,0.115616,0.931492,0.341946,14.6317,4,0.05,150,1.0,2026-09-18T00:34:24.251759
8,98,0.97631,0.149511,0.889328,0.843411,0.056166,0.105659,0.932691,0.330613,16.4187,4,0.05,150,1.0,2026-09-18T00:34:33.795214
9,105,0.976209,0.140121,0.893281,0.83343,0.053202,0.100422,0.929281,0.334377,17.4105,4,0.05,150,1.0,2026-09-18T00:34:43.234641
10,112,0.975825,0.151359,0.885375,0.843121,0.055833,0.105041,0.933748,0.322919,16.4433,4,0.05,150,1.0,2026-09-18T00:34:52.767989
